demo_group,candidate_id,county,fips,year,drought_start,drought_end_month_end,rain_start,rain_end,lag_days,lag_bin,drought_severity,min_spei,rainfall_days,rainfall_grid_count,spatial_match_strength,weak_drought_flag,weak_rainfall_flag,old_positive_label_if_any,sampling_seed,notes
positive_22,rawce_9ff665f2c45a5645,San Bernardino County,06071,2022,2022-01,2022-08-31,2022-11-09,2022-11-10,70,61_90,Extreme,-4.1342,2,3,same_grid,false,false,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_a6daeb187571b5db,Tulare County,06107,2023,2022-03,2022-11-30,2023-01-09,2023-01-12,40,31_60,Extreme,-2.9473,4,18,same_grid,false,false,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_5582115b8e65510e,Placer County,06061,2024,2024-06,2024-10-31,2024-11-22,2024-11-24,22,8_30,Extreme,-2.5728,3,4,same_grid,false,false,event_impact_supported_drought_public_weak,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_76f8414f254ca20f,San Luis Obispo County,06079,2023,2022-02,2022-10-31,2023-01-09,2023-01-11,70,61_90,Extreme,-3.3849,3,17,same_grid,false,false,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_a05b6c8386097203,Sacramento County,06067,2022,2022-02,2022-10-31,2022-12-31,2023-01-02,61,61_90,Extreme,-2.5325,3,4,same_grid,false,false,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_62025560c3a993a7,Imperial County,06025,2023,2023-07,2023-07-31,2023-09-01,2023-09-04,32,31_60,Severe,-1.7443,4,13,same_grid,true,false,event_impact_supported_drought_public_weak,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_05b52a80e2289be0,Tehama County,06103,2023,2022-01,2022-10-31,2023-01-09,2023-01-11,70,61_90,Extreme,-2.8724,3,11,same_grid,false,false,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_fb6b000b5c571bf6,Merced County,06047,2023,2022-02,2022-10-31,2023-01-09,2023-01-11,70,61_90,Extreme,-2.4913,3,7,same_grid,false,false,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_90bee0bf1f3ac93c,Glenn County,06021,2023,2022-02,2022-10-31,2023-01-05,2023-01-05,66,61_90,Extreme,-2.7437,1,1,same_grid,false,true,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_475732448c9aad0f,Inyo County,06027,2022,2022-03,2022-07-31,2022-08-05,2022-08-07,5,1_7,Extreme,-2.7534,3,6,same_grid,false,false,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
