candidate_id,county,drought_hazard_support,wet_hazard_support,impact_support,explicit_hazard_to_impact_attribution_support,explicit_linkage_support,support_tier,webpage_count,webpage_supported_count,webpage_unresolved_count,webpage_insufficient_count
rawce_9ff665f2c45a5645,San Bernardino County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,0,0,0
rawce_a6daeb187571b5db,Tulare County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,1,0,0
rawce_5582115b8e65510e,Placer County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,6,0,0,0
rawce_76f8414f254ca20f,San Luis Obispo County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,2,0,2,0
rawce_a05b6c8386097203,Sacramento County,yes,yes,yes,yes,no,hazards_and_impact_supported_no_explicit_linkage,2,2,0,0
rawce_62025560c3a993a7,Imperial County,yes,yes,yes,yes,no,hazards_and_impact_supported_no_explicit_linkage,6,1,1,0
rawce_05b52a80e2289be0,Tehama County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,2,0,1,0
rawce_fb6b000b5c571bf6,Merced County,yes,yes,yes,yes,no,hazards_and_impact_supported_no_explicit_linkage,2,1,1,0
rawce_90bee0bf1f3ac93c,Glenn County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,2,0,2,0
rawce_475732448c9aad0f,Inyo County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,1,0,0,0
rawce_87f9ffd78716659a,San Benito County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,0,0,1
rawce_770aa141bb15cdb7,Yolo County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,0,1,0
rawce_a94472747c9c47e7,Monterey County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,2,0,2,0
rawce_9d5649929a20ea52,Santa Clara County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,2,0,1,1
rawce_6cd112cae399b1f0,Madera County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,2,0,1,0
rawce_4bf79b6425224863,Madera County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,2,0,2,0
rawce_ededdeb35298a3ec,San Diego County,yes,yes,yes,unresolved,unresolved,hazards_and_impact_supported_no_explicit_linkage,4,0,2,0
rawce_8c67c26f7709ce24,Inyo County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,5,0,2,0
rawce_91c4a9f4fd97418d,Riverside County,yes,yes,yes,yes,no,hazards_and_impact_supported_no_explicit_linkage,2,1,1,0
rawce_d610913be60ce835,El Dorado County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,1,0,1,0
rawce_23deaaac0213a94a,Placer County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,0,0,0
rawce_be5102120f205a68,Fresno County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,0,0,0
rawce_f8ac636ad3ead17a,Santa Clara County,yes,yes,yes,unresolved,unresolved,hazards_and_impact_supported_no_explicit_linkage,2,0,2,0
rawce_9bcb7ffc0960f54f,Mariposa County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,4,0,0,0
rawce_b9309410c1ead41a,Shasta County,yes,no,no,no,no,partial_or_no_public_support,5,0,0,1
rawce_ad155787d06a9d0c,Los Angeles County,yes,no,no,no,no,partial_or_no_public_support,5,0,0,0
rawce_37fd8be9ff47459e,Inyo County,yes,unresolved,unresolved,unresolved,no,needs_review,3,0,3,0
rawce_562241dbd09d9b4b,Mariposa County,yes,unresolved,unresolved,unresolved,no,needs_review,3,0,1,0
rawce_0b7d694e86814201,Placer County,yes,no,no,no,no,partial_or_no_public_support,5,0,0,1
rawce_113fe482f48a3a96,Contra Costa County,yes,no,no,no,no,partial_or_no_public_support,6,0,0,1
rawce_bb1b9f9362a3227c,Kings County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,4,0,0,0
rawce_ca434870b4e3aee0,Fresno County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,0,0,0,0
rawce_60e864d8d47a251a,Yuba County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,0,1,0
rawce_b859bb1b2a5040d6,San Diego County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,0,0,0
rawce_a062fb0f4ef308b4,Monterey County,yes,yes,yes,no,no,hazards_and_impact_supported_no_explicit_linkage,2,0,1,0
rawce_cad3947a45ad7f7c,Tuolumne County,yes,no,no,no,no,partial_or_no_public_support,3,0,0,2
rawce_5070c3121ad54300,Inyo County,yes,no,no,no,no,partial_or_no_public_support,2,0,0,0
rawce_6ea445f33da9fa1e,Tulare County,yes,yes,yes,unresolved,no,hazards_and_impact_supported_no_explicit_linkage,2,0,2,0
rawce_4474aacc457cfc3b,Kern County,yes,yes,yes,unresolved,unresolved,hazards_and_impact_supported_no_explicit_linkage,2,0,1,0
rawce_4747396341aee37e,Tulare County,yes,unresolved,no,no,no,needs_review,3,0,1,0
