page_id,candidate_id,source_url,semantic_provenance,terminal_state,model_support_recommendation,page_result,candidate_hazard_support,realized_impact_support,attribution_support,transition_support,baseline_page_result
rawce_5582115b8e65510e__09fb5b49c4c6ab275c2c,rawce_5582115b8e65510e,https://water.ca.gov/Water-Basics/Drought/Drought-Resilience-Interagency-and-Partners-Collaborative,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_5582115b8e65510e__d895395c3ea049a13281,rawce_5582115b8e65510e,https://www.usbr.gov/watersmart/weeg/docs/2024/WEEG-089_PlacerCountyWaterAgency_508.pdf,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_5582115b8e65510e__46ed2333b57c56307f9e,rawce_5582115b8e65510e,https://www.placer.ca.gov/DocumentCenter/View/98034/04A,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_5582115b8e65510e__5b8dcca8c0c0c8fe1cda,rawce_5582115b8e65510e,https://www.placer.ca.gov/10493/Record-setting-2024-crop-report,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_62025560c3a993a7__c85f2eac268947239de1,rawce_62025560c3a993a7,https://calexicochronicle.com/2024/10/23/imperial-county-gross-ag-values-at-2-6b-livestock-tops-again,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_62025560c3a993a7__4f3a92c14cc0e203ed13,rawce_62025560c3a993a7,https://imperialcounty.org/wp-content/uploads/2025/12/Appendix-L-1-Water-Supply-Assessment.pdf,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_62025560c3a993a7__aa1806732ab9279d0eb2,rawce_62025560c3a993a7,https://www.drought.gov/states/california/county/imperial,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_62025560c3a993a7__2ebc165b6ec957376479,rawce_62025560c3a993a7,https://marshall-stevens.com/insights-center/imperial-valleys-worst-agricultural-real-estate-market-in-25-30-years,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_ededdeb35298a3ec__a4468aa0d5982bea921b,rawce_ededdeb35298a3ec,https://www.drought.gov/states/california/county/san%20diego,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_ededdeb35298a3ec__e53405f3115e2662bed7,rawce_ededdeb35298a3ec,https://www.nbcsandiego.com/news/california/california-drought/governor-extends-drought-emergency-to-socal-san-diego/2753084,frozen_original_110,incomplete,,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
rawce_8c67c26f7709ce24__edb84084e8d93f0ef765,rawce_8c67c26f7709ce24,https://www.inyocounty.us/services/agriculture-inyo-and-mono-counties/agricultural-commissioner/resources/crop-reports,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_8c67c26f7709ce24__2e74611271ba2f3aff5a,rawce_8c67c26f7709ce24,https://www.inyocounty.us/sites/default/files/2025-12/Draft%20Inyo%20County%20Drought%20Resilience%20Plan.pdf,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_8c67c26f7709ce24__9c30b97fc98fc168e361,rawce_8c67c26f7709ce24,https://www.drought.gov/states/california/county/inyo,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_9bcb7ffc0960f54f__f3ccd13ae64be7bb075f,rawce_9bcb7ffc0960f54f,https://www.drought.gov/states/california/county/mariposa,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_9bcb7ffc0960f54f__02735e7b5c11d03b764e,rawce_9bcb7ffc0960f54f,https://www.mariposacounty.gov/1795/Office-of-Emergency-Services,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_b9309410c1ead41a__c707a067068e78b1f1b5,rawce_b9309410c1ead41a,https://cms3.revize.com/revize/andersoncanew/departments/public_works1/docs/2023%2004-05%20Shasta%20County%20HMP%20-%20Full%20Plan.pdf,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_b9309410c1ead41a__efc7fa5275e7816b705e,rawce_b9309410c1ead41a,https://www.caloes.ca.gov/office-of-the-director/policy-administration/legal-affairs/emergency-proclamations,frozen_original_110,ok,needs_review,does_not_support,no,no,no,no,does_not_support
rawce_b9309410c1ead41a__5eab20b187ca92fd1662,rawce_b9309410c1ead41a,https://www.redding.com/story/news/2023/03/14/flooding-prompts-evacuation-in-anderson-after-a-c-i-d-canal-overflows/70010181007,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_ad155787d06a9d0c__a41bcdbc2a449eaf93cc,rawce_ad155787d06a9d0c,https://en.wikipedia.org/wiki/2022%E2%80%932023_California_floods,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_ad155787d06a9d0c__335dec74c7e2771cfbd4,rawce_ad155787d06a9d0c,https://emergency.lacity.gov/sites/g/files/wph1791/files/2022-09/Evacuation%20Annex%20%282020%29.pdf,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_ad155787d06a9d0c__77e7ef8f6e7cede0d06c,rawce_ad155787d06a9d0c,https://lacounty.gov/emergency,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_ad155787d06a9d0c__acc0c5403079873f1365,rawce_ad155787d06a9d0c,https://abcnews.com/US/evacuation-orders-issued-los-angeles-area-amid-fears/story?id=119711861,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_37fd8be9ff47459e__bcd42940b0949cdaf4da,rawce_37fd8be9ff47459e,https://www.gov.ca.gov/wp-content/uploads/2021/12/12-30-21-SOE-December-2021-Winter-Storms.pdf,frozen_original_110,incomplete,,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_562241dbd09d9b4b__9dd2e5d4b981e169eb47,rawce_562241dbd09d9b4b,https://www.weather.gov/media/hnx/2021jan.pdf,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_562241dbd09d9b4b__4f4d10dc2e03203b7e87,rawce_562241dbd09d9b4b,https://www.gov.ca.gov/2021/06/22/governor-newsom-declares-state-of-emergency-for-madera-and-mariposa-counties-due-to-january-wind-event,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_0b7d694e86814201__a87e500c2b2b40f7b772,rawce_0b7d694e86814201,https://www.placer.ca.gov/DocumentCenter/View/84357/21E,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_0b7d694e86814201__b4af0ec886581aa53c70,rawce_0b7d694e86814201,https://www.placer.ca.gov/DocumentCenter/View/95946/18B,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_0b7d694e86814201__8b4138a20fdb4e8eb111,rawce_0b7d694e86814201,https://www.pctpa.net/files/3f040b2c1/ETRP+RFP+01.31.25.pdf,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_0b7d694e86814201__ea0e0ccf3212f2ad39c8,rawce_0b7d694e86814201,https://www.kcra.com/article/northern-california-forecast-jan-2-sacramento-area-rain-flooding-sierra-travel/42379155,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_113fe482f48a3a96__dc7ca8797d36617613a9,rawce_113fe482f48a3a96,https://www.contracosta.ca.gov/DocumentCenter/View/84967/Contra-Costa-County-2024-Climate-Action-and-Adaptation-Plan-PDF?bidId=,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_113fe482f48a3a96__bfee5f29a2405bd869e2,rawce_113fe482f48a3a96,https://www.contracosta.ca.gov/CivicAlerts.aspx?AID=4259&ARC=11425,native_targeted_rerun,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_113fe482f48a3a96__16d4bfb869b3bec8cb66,rawce_113fe482f48a3a96,https://www.contracosta.ca.gov/CivicAlerts.asp?AID=4553&ARC=14015,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_113fe482f48a3a96__d9587e4e8cb2f91fbca9,rawce_113fe482f48a3a96,https://www.contracosta.ca.gov/CivicAlerts.asp?AID=4251&ARC=11301,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_bb1b9f9362a3227c__cc1a734340478c24c12d,rawce_bb1b9f9362a3227c,https://giannini.ucop.edu/filer/file/1767890965/21562,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_bb1b9f9362a3227c__a46943179ad03d3f2435,rawce_bb1b9f9362a3227c,https://calmatters.org/environment/water/2024/04/california-farmers-groundwater-probation-kings-county,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_cad3947a45ad7f7c__e8f2fe8725616fd905f8,rawce_cad3947a45ad7f7c,https://www.americanwhitewater.org/article/2tmrffpz2gx01e5bf0oma-2,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_cad3947a45ad7f7c__b4b5c1be6c71d67eb3e0,rawce_cad3947a45ad7f7c,https://www.tuolumnecounty.ca.gov/434/Road-Operations,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_4747396341aee37e__0f7752006b0a0699997f,rawce_4747396341aee37e,https://www.caloes.ca.gov/office-of-the-director/operations/planning-preparedness-prevention/planning-preparedness/catastrophic-planning,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_4747396341aee37e__10b7e7b5c63af283c270,rawce_4747396341aee37e,https://www.cnrfc.noaa.gov/storm_summaries/dec2022Jan2023storms.php,native_targeted_rerun,ok,needs_review,unresolved,unresolved,no,no,no,unresolved
rawce_4747396341aee37e__ac71dd7b59e224099247,rawce_4747396341aee37e,https://www.kvpr.org/local-news/2023-03-20/nearly-1-000-residents-under-evacuation-as-allensworth-alpaugh-are-threatened-by-flooding,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_9ff665f2c45a5645__bdce252f5c8438fc3196,rawce_9ff665f2c45a5645,https://www.foxweather.com/weather-news/not-so-sunny-california-storm-feet-of-snow-mountains-heavy-rains-los-angeles-san-francisco,frozen_original_110,ok,needs_review,does_not_support,no,no,no,no,does_not_support
rawce_9ff665f2c45a5645__49965173091e5d31d4b0,rawce_9ff665f2c45a5645,https://floodlist.com/america/usa/floods-southern-california-november-2022,frozen_original_110,ok,needs_review,does_not_support,no,no,no,no,does_not_support
