candidate_id,structured_record_id,source_family,source_url,component_support_type,deterministic_match_accepted,drought_hazard_support,wet_hazard_support,impact_support,explicit_linkage_support,administrative_only,reason
rawce_9ff665f2c45a5645,usdm_06071_2022-08-30,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06071&startdate=2022-08-30&enddate=2022-08-30&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_9ff665f2c45a5645,1067637,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2022_c20260625.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_9ff665f2c45a5645,1067640,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2022_c20260625.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_9ff665f2c45a5645,1058962,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2022_c20260625.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_9ff665f2c45a5645,1058961,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2022_c20260625.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_a6daeb187571b5db,usdm_06107_2022-11-29,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06107&startdate=2022-11-29&enddate=2022-11-29&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_a6daeb187571b5db,1068107,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_a6daeb187571b5db,1065428,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_a6daeb187571b5db,1065429,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_a6daeb187571b5db,1065430,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_5582115b8e65510e,usdm_06061_2024-10-29,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06061&startdate=2024-10-29&enddate=2024-10-29&statisticsType=1,drought_hazard,True,yes,no,no,no,no,"Official USDM structured row was checked, but D1+ is not above the qualifying threshold."
