page_id,candidate_id,source_url,semantic_provenance,terminal_state,model_support_recommendation,page_result,candidate_hazard_support,realized_impact_support,attribution_support,transition_support,previous_page_result
rawce_ededdeb35298a3ec__e53405f3115e2662bed7,rawce_ededdeb35298a3ec,https://www.nbcsandiego.com/news/california/california-drought/governor-extends-drought-emergency-to-socal-san-diego/2753084,frozen_original_110,incomplete,,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
rawce_b9309410c1ead41a__c707a067068e78b1f1b5,rawce_b9309410c1ead41a,https://cms3.revize.com/revize/andersoncanew/departments/public_works1/docs/2023%2004-05%20Shasta%20County%20HMP%20-%20Full%20Plan.pdf,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_37fd8be9ff47459e__bcd42940b0949cdaf4da,rawce_37fd8be9ff47459e,https://www.gov.ca.gov/wp-content/uploads/2021/12/12-30-21-SOE-December-2021-Winter-Storms.pdf,frozen_original_110,incomplete,,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_0b7d694e86814201__8b4138a20fdb4e8eb111,rawce_0b7d694e86814201,https://www.pctpa.net/files/3f040b2c1/ETRP+RFP+01.31.25.pdf,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_113fe482f48a3a96__dc7ca8797d36617613a9,rawce_113fe482f48a3a96,https://www.contracosta.ca.gov/DocumentCenter/View/84967/Contra-Costa-County-2024-Climate-Action-and-Adaptation-Plan-PDF?bidId=,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_cad3947a45ad7f7c__e8f2fe8725616fd905f8,rawce_cad3947a45ad7f7c,https://www.americanwhitewater.org/article/2tmrffpz2gx01e5bf0oma-2,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_cad3947a45ad7f7c__b4b5c1be6c71d67eb3e0,rawce_cad3947a45ad7f7c,https://www.tuolumnecounty.ca.gov/434/Road-Operations,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_4747396341aee37e__10b7e7b5c63af283c270,rawce_4747396341aee37e,https://www.cnrfc.noaa.gov/storm_summaries/dec2022Jan2023storms.php,native_targeted_rerun,ok,needs_review,unresolved,unresolved,no,no,no,unresolved
rawce_76f8414f254ca20f__879c642aab16b26f8b8e,rawce_76f8414f254ca20f,https://www.youtube.com/watch?v=oMlMFME6aMU,frozen_original_110,ok,needs_review,unresolved,unresolved,no,no,no,unresolved
rawce_76f8414f254ca20f__58b30663ff041f6ee030,rawce_76f8414f254ca20f,https://in.nau.edu/department-geography-planning-recreation/wp-content/uploads/sites/351/Nikki-Maraviglia-Thesis-2024.pdf,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
